business_id,business_name,department,address,phone_number,open_date,월요일 운영시간,월요일 휴게시간,화요일 운영시간,화요일 휴게시간,수요일 운영시간,수요일 휴게시간,목요일 운영시간,목요일 휴게시간,금요일 운영시간,금요일 휴게시간,토요일 운영시간,토요일 휴게시간,일요일 운영시간,일요일 휴게시간
513-35-91129,고은아이소아청소년과의원,소아청소년과,"충청남도 공주시 무령로 592, 3층 (월송동)",041-853-8275,20030414,09:00~17:00,,09:00~14:00,,10:00~17:00,,09:00~14:00,,09:00~17:00,,,,,
407-41-73848,공감정신건강의학과의원,정신건강의학과,"충청북도 청주시 청원구 율봉로 141, 6층 (율량동)",043-288-8886,20160418,09:00~19:00,,09:00~19:00,,09:00~19:00,,09:00~13:00,,09:00~19:00,,09:00~13:00,,,
947-36-12957,공주노인정신건강의학과의원,정신건강의학과,"충청남도 공주시 봉정돌고개길 37, (봉정동)",041-852-5233,20081201,09:00~18:00,,09:00~18:00,,09:00~18:00,,09:00~18:00,,09:00~18:00,,09:00~18:00,,,
989-48-46871,공주대한정형외과의원,정형외과,"충청남도 공주시 웅진로 223, (산성동)",041-858-7588,20090504,08:00~18:00,,08:00~18:00,,08:00~13:00,,08:00~18:00,,08:00~18:00,,08:00~12:30,,,
020-43-85712,공주서울내과의원,내과,"충청남도 공주시 웅진로 186, 2층 (산성동)",041-853-7582,20210308,08:30~18:30,13:00~14:00,08:30~18:30,13:00~14:00,08:30~18:30,13:00~14:00,08:30~18:30,13:00~14:00,08:30~18:30,13:00~14:00,08:30~14:00,,,
585-83-24973,공주성모안과의원,안과,"충청남도 공주시 웅진로 223, 2층 (산성동, 산성빌딩 )",041-858-0975,20010210,09:00~18:00,,09:00~18:00,,09:00~18:00,,09:00~13:00,,09:00~18:00,,09:00~13:00,,,
058-67-34713,곽내과의원,내과,"충청북도 청주시 흥덕구 복대로 143, 아동201호 (복대동, 덕일아파트상가)",043-232-9078,19911206,09:00~18:20,,09:00~18:20,,09:00~18:20,,09:00~18:20,,09:00~18:20,,09:00~12:50,,,
031-92-16214,곽병수내과의원,내과,"충청남도 천안시 동남구 서부대로 227, 3층 (신방동, 예은빌딩)",041-574-6943,20010503,08:30~18:30,13:00~14:00,08:30~18:30,13:00~14:00,08:30~18:30,13:00~14:00,08:30~18:30,13:00~14:00,08:30~18:30,13:00~14:00,08:00~13:00,,,
902-78-29188,구세이비인후과의원,이비인후과,"충청북도 충주시 중앙로 77, (충인동)",043-848-2589,19940418,09:00~18:30,,09:00~18:30,,09:00~18:30,,09:00~18:30,,09:00~18:30,,09:00~13:30,,,
452-43-94896,굿모닝소아청소년과의원,소아청소년과,"충청북도 청주시 상당구 산성로92번길 6, (금천동, 203호)",043-295-8575,20140602,09:00~18:30,,09:00~18:30,,09:00~13:00,,09:00~18:30,,09:00~18:30,,09:00~13:00,,,
000-58-77929,굿모닝신경외과의원,신경외과,"충청북도 청주시 흥덕구 가경로 9-19, (가경동)",043-239-7533,20080730,09:00~19:00,,09:00~19:00,,09:00~19:00,,09:00~19:00,,09:00~19:00,,09:00~13:00,,,
075-35-67313,굿모닝정신건강의학과의원,정신건강의학과,"충청남도 천안시 동남구 만남로 9, 더샵오피스텔 3층303호 (신부동)",041-558-0066,20170731,09:30~18:00,,09:30~18:00,,09:30~15:00,,09:30~18:00,,09:30~18:00,,,,,
033-16-36178,굿모닝정형외과의원,정형외과,"충청북도 제천시 의병대로 107, (남천동)",043-648-5111,20050506,08:30~18:10,,08:30~18:10,,08:30~18:10,,08:30~18:10,,08:30~18:10,,08:30~13:00,,,
007-56-33849,굿모닝정형외과의원,정형외과,"충청남도 천안시 서북구 두정로 104, (두정동)",041-565-8877,20101101,09:00~19:00,,09:00~19:00,,09:00~19:00,,09:00~19:00,,09:00~19:00,,09:00~14:00,,,
007-63-51634,굿모닝피부과의원,피부과,"충청북도 청주시 상당구 산성로92번길 6, 4층 (금천동, 굿모닝메디칼빌딩)",043-285-1510,20050414,09:30~19:30,12:30~14:00,09:30~19:00,12:30~14:00,09:30~19:00,12:30~14:00,14:10~19:00,,09:30~19:30,12:30~14:00,09:30~14:00,,,
005-50-16145,권내과의원,내과,"충청남도 서산시 안견로 178, 2층 (동문동)",041-668-6799,20010420,,,,,,,,,,,,,,
193-71-31927,권내과의원,내과,"충청남도 논산시 계백로 1000, (취암동)",041-732-1475,19990731,09:00~17:20,,09:00~17:20,,09:00~17:20,,09:00~17:20,,09:00~17:20,,09:00~12:00,,,
014-22-53941,권대현소아청소년과의원,소아청소년과,"충청북도 청주시 흥덕구 사운로 292, 701호 (운천동)",043-260-5582,20210203,09:00~19:00,,09:00~19:00,,09:00~13:00,,09:00~19:00,,09:00~19:00,,09:00~18:00,,,
521-37-52696,권주형정형외과의원,정형외과,"충청북도 청주시 청원구 상당로 307, (내덕동)",043-255-5080,19960503,09:00~18:00,12:20~14:00,09:00~18:00,12:20~14:00,09:00~18:00,12:20~14:00,09:00~18:00,12:20~14:00,09:00~18:00,12:20~14:00,09:00~12:20,,,
038-87-95634,기운찬정형외과의원,정형외과,"충청북도 제천시 독순로 79, 내토메디컬센터 201호 (중앙로2가)",043-642-0001,20211021,08:30~18:00,,08:30~18:00,,08:30~18:00,,08:30~18:00,,08:30~18:00,,08:30~13:00,,,
482-78-73649,길소아청소년과의원,소아청소년과,"충청북도 청주시 상당구 원봉로 21, 204호 (용암동, 태암소라아파트상가)",043-293-0539,20060102,08:30~18:30,,08:30~18:30,,08:30~18:30,,08:30~18:30,,08:30~18:30,,08:30~13:00,,,
000-09-04670,김경중내과의원,내과,"충청남도 서산시 시장6로 31, (동문동)",041-667-3003,19940312,08:30~17:30,12:50~14:00,08:30~17:30,12:50~14:00,08:30~17:30,12:50~14:00,08:30~17:30,12:50~14:00,08:30~17:30,12:50~14:00,08:30~12:30,,,
002-28-56197,김광수피부과의원,피부과,"충청북도 청주시 상당구 상당로 37, (남문로1가)",043-256-2959,19850508,09:00~18:00,13:00~14:00,09:00~18:00,13:00~14:00,09:00~18:00,13:00~14:00,09:00~18:00,13:00~14:00,09:00~18:00,13:00~14:00,09:00~13:00,,,
928-26-28291,김광주산부인과의원,산부인과,"충청북도 청주시 서원구 청남로 2010, 3층 (분평동)",043-291-7582,20010309,10:00~18:00,,10:00~18:00,,10:00~13:00,,10:00~18:00,,10:00~18:00,,10:00~13:00,,,
048-74-75889,김광호내과의원,내과,"충청남도 논산시 중앙로 472-4, (반월동)",041-733-1195,20000421,08:30~17:30,,08:30~17:30,,08:30~17:30,,08:30~17:30,,08:30~17:30,,09:00~12:30,,,
162-16-95559,김기현정형외과의원,정형외과,"충청남도 서산시 안견로 174, (동문동)",041-668-0094,20070530,08:00~19:00,,08:00~19:00,,08:00~19:00,,08:00~19:00,,08:00~19:00,,08:00~13:00,,,
117-94-72993,김내과의원,내과,"충청남도 공주시 무령로 236, 3층 (중동)",041-855-7336,19841108,08:30~17:30,,08:30~17:30,,08:30~12:30,,08:30~17:30,,08:30~17:30,,08:30~12:00,,,
927-19-48599,김동준소아청소년과의원,소아청소년과,"충청북도 제천시 청전대로 171, (청전동)",043-644-6080,20000919,08:30~18:00,,08:30~18:00,,08:30~18:00,,08:30~18:00,,08:30~18:00,,09:00~13:00,,,
336-46-22129,김명수내과의원,내과,"충청북도 청주시 서원구 구룡산로 386, (수곡동, 김명수내과의원)",043-284-5356,19950331,08:30~18:00,,08:30~18:00,,08:30~18:00,,08:30~18:00,,08:30~18:00,,08:30~13:00,,,
014-64-49417,김민옥내과의원,내과,"충청북도 청주시 청원구 공항로150번길 5, 2층 (율량동)",043-217-7114,20100915,06:00~20:00,,06:00~20:00,,06:00~20:00,,06:00~20:00,,06:00~20:00,,,,,
004-49-44675,김병기정형외과의원,정형외과,"충청남도 천안시 동남구 고재20길 1, (원성동, 김병기정형외과)",041-551-3882,19820203,09:00~18:00,12:30~13:30,09:00~18:00,12:30~13:30,09:00~13:00,,09:00~18:00,12:30~13:30,09:00~18:00,12:30~13:30,09:00~13:00,,,
901-17-44534,김병모내과의원,내과,"충청남도 아산시 충무로 26, (온천동)",041-542-8121,19920314,09:00~18:00,,09:00~18:00,,09:00~18:00,,09:00~13:00,,09:00~18:00,,09:00~12:00,,,
022-48-46919,김병태내과의원,내과,"충청북도 청주시 서원구 청남로 2114, (모충동)",043-283-9999,19890429,09:00~18:00,,09:00~18:00,,09:00~18:00,,09:00~18:00,,09:00~18:00,,09:00~13:00,,,
022-89-22495,김보형이비인후과의원,이비인후과,"충청북도 충주시 칠금12길 8, (칠금동)",043-848-5073,20210827,09:00~18:30,,09:00~18:30,,09:00~12:30,,09:00~18:30,,09:00~18:30,,09:00~13:00,,,
009-21-84324,김성철내과의원,내과,"충청북도 청주시 상당구 무심동로336번길 119-1, 3층 (남문로2가)",043-255-2986,19871116,,,,,,,,,,,,,,
093-47-62134,김성태정형외과의원,정형외과,"충청남도 천안시 동남구 대흥로 327, 지하1층, 지상1층 (성황동, 이승훈정형외과의원)",041-551-2602,19711105,09:00~18:00,13:00~14:00,09:00~18:00,13:00~14:00,,,09:00~18:00,13:00~14:00,09:00~18:00,13:00~14:00,09:00~13:00,,,
032-49-68712,김안과의원,안과,"충청남도 아산시 충무로 14, (온천동)",041-544-1323,19890106,09:00~18:00,,09:00~18:00,,09:00~18:00,,09:00~18:00,,09:00~18:00,,09:00~12:00,,,
029-72-16319,김앤윤내과의원,내과,"충청남도 천안시 서북구 충무로 205, 3층 (쌍용동)",041-577-5300,20020923,09:00~18:00,,09:00~18:00,,,,09:00~18:00,,09:00~18:00,,09:00~13:00,,,
239-79-99496,김옥년정형외과의원,정형외과,"충청북도 청주시 서원구 사직대로 294, (사직동)",043-264-7114,19870912,08:20~18:00,,08:20~18:00,,08:20~18:00,,08:20~13:00,,08:20~18:00,,08:20~13:00,,,
059-45-35586,김용현내과의원,내과,"충청남도 아산시 남부로 321-21, 3층 (풍기동)",041-545-3600,20180109,08:30~18:30,,08:30~18:30,,08:30~13:00,,08:30~18:30,,08:30~18:30,,08:30~13:00,,,
423-51-52268,김이비인후과의원,이비인후과,"충청북도 청주시 서원구 구룡산로 246, 2층 (수곡동)",043-292-8275,20020419,09:00~18:30,,09:00~18:30,,09:00~18:30,,09:00~18:30,,09:00~18:30,,09:00~12:00,,,
874-56-96584,김이태안과의원,안과,"충청남도 천안시 서북구 충무로 205, 다선빌딩 2층,5층 501호 (쌍용동)",041-576-0088,20211117,09:00~19:00,12:00~14:00,09:00~19:00,12:00~14:00,09:00~19:00,12:00~14:00,09:00~19:00,12:00~14:00,09:00~19:00,12:00~14:00,09:00~13:00,,,
007-36-56425,김재권내과의원,내과,"충청북도 충주시 중앙로 80, (성서동)",043-847-7533,20130214,08:10~17:30,,08:10~17:30,,08:10~17:30,,08:10~17:30,,08:10~17:30,,,,,
854-74-52752,김재하내과의원,내과,"충청남도 천안시 동남구 만남로 42, 5층 (신부동)",041-558-8500,19991102,09:00~18:30,,09:00~18:30,,09:00~18:30,,09:00~18:30,,09:00~18:30,,09:00~13:00,,,
033-03-36213,김정훈내과의원,내과,"충청남도 천안시 서북구 불당대로 273, 3층 (쌍용동)",041-579-3420,20100503,09:00~18:30,,09:00~18:30,,09:00~18:30,,09:00~13:00,,09:00~18:30,,09:00~15:00,,,
053-54-61515,김종훈내과의원,내과,"충청남도 천안시 서북구 서부대로 688, 3층 (성정동)",041-522-2058,20040304,09:00~19:00,13:00~14:00,09:00~18:30,13:00~14:00,09:00~18:30,13:00~14:00,09:00~18:30,13:00~14:00,09:00~18:30,13:00~14:00,09:00~12:00,,,
062-23-19329,김주영내과의원,내과,"충청북도 청주시 상당구 청남로 2200, 2층 (석교동)",043-224-7100,20030605,08:30~18:00,,08:30~18:00,,08:30~18:00,,08:30~18:00,,08:30~18:00,,08:30~14:00,,,
002-85-56957,김주완내과의원,내과,"충청북도 충주시 번영대로 195, (연수동)",043-845-1315,20060201,09:00~17:00,12:30~14:00,09:00~17:00,12:30~14:00,09:00~12:00,,09:00~17:00,12:30~14:00,09:00~17:00,12:30~14:00,09:00~11:30,,,
027-83-29987,김진두정형외과의원,정형외과,"충청북도 청주시 서원구 복대로 23, 401호 (개신동, 효림메디칼센터)",043-237-0073,19931011,09:00~19:00,,09:00~19:00,,09:00~19:00,,09:00~19:00,,09:00~19:00,,09:00~15:30,,,
753-28-93455,김진수내과의원,내과,"충청북도 충주시 중앙로 21-1, (문화동)[*미고시]",043-856-7578,20081104,08:30~18:30,,08:30~18:30,,08:30~18:30,,08:30~18:30,,08:30~18:30,,08:30~13:00,,,
001-30-27547,김진용내과의원,내과,"충청북도 청주시 상당구 상당로 154, (북문로2가)",043-256-2520,19900316,09:00~18:00,,09:00~18:00,,09:00~18:00,,09:00~18:00,,09:00~18:00,,09:00~14:00,,,
404-24-66428,김철현내과의원,내과,"충청남도 천안시 동남구 충절로 25, (신부동, 내과의원)",041-522-1900,20020704,09:00~18:00,,09:00~18:00,,09:00~18:00,,09:00~18:00,,09:00~18:00,,09:00~12:30,,,
768-13-61285,김태룡내과의원,내과,"충청북도 청주시 흥덕구 1순환로 511-1, (봉명동, 2층)",043-274-3363,19910312,09:30~18:30,,09:30~18:30,,09:30~13:00,,09:30~18:30,,09:30~18:30,,09:30~13:00,,,
767-75-12361,김태웅산부인과의원,산부인과,"충청북도 제천시 명륜로 79, (의림동)",043-652-0815,20040127,08:30~18:00,,08:30~18:00,,08:30~18:00,,08:30~18:00,,08:30~18:00,,08:30~13:00,,,
076-46-51454,김현경산부인과의원,산부인과,"충청남도 천안시 동남구 충절로 12, (신부동, 농협 신안동지점)",041-556-1645,19941111,09:30~16:00,13:00~14:00,09:30~16:00,13:00~14:00,,,09:30~16:00,13:00~14:00,09:30~16:00,13:00~14:00,09:30~13:00,,,
042-65-68942,김현응내과의원,내과,"충청남도 천안시 동남구 방죽안3길 19, (신부동, 김현웅내과)",041-563-9858,19961102,09:00~19:00,,09:00~19:00,,09:00~19:00,,09:00~19:00,,09:00~19:00,,09:00~12:00,,,
005-45-88169,꿈소아청소년과의원,소아청소년과,"충청남도 논산시 중앙로 258, (취암동)",041-734-8500,20120203,09:00~18:30,,09:00~18:30,,09:00~18:30,,09:00~18:30,,09:00~18:30,,09:00~12:30,,,
028-29-54388,날개바로정형외과의원,정형외과,"충청남도 천안시 동남구 청수4로 16, 7층 (청당동)",041-415-2333,20170602,09:00~19:00,,09:00~19:00,,09:00~19:00,,09:00~19:00,,09:00~19:00,,09:00~14:00,,,
000-35-43475,남범우평안정신건강의학과의원,정신건강의학과,"충청북도 충주시 중앙로 80, 네오메디 클리닉센타 2층 201호 (성서동)",043-855-3334,20220722,,,08:00~20:00,13:00~14:00,08:00~20:00,13:00~14:00,08:00~20:00,13:00~14:00,,,,,,
970-48-22845,남안과의원,안과,"충청남도 천안시 서북구 충무로 201, 2층 (쌍용동)",041-571-7010,20051227,09:10~18:00,,09:10~18:00,,09:10~18:00,,09:10~18:00,,09:10~18:00,,09:10~13:00,,,
876-24-91336,남인성이비인후과의원,이비인후과,"충청남도 천안시 서북구 봉명로 35, 2층 (쌍용동)",041-573-2525,19970121,09:00~18:00,,09:00~18:00,,09:00~18:00,,14:00~18:00,,09:00~18:00,,09:00~12:00,,,
519-63-48288,남재만내과의원,내과,"충청북도 충주시 번영대로 182, (연수동)",043-845-1339,19950207,09:00~18:30,,09:00~18:30,,09:00~18:30,,09:00~18:30,,09:00~18:30,,09:00~13:00,,,
884-47-23649,노병연내과의원,내과,"충청북도 제천시 의림대로 153, 3층 (의림동)",043-644-6670,20181126,09:00~18:00,,09:00~18:00,,09:00~18:00,,09:00~18:00,,09:00~18:00,,09:00~13:00,,,
090-72-25334,노정형외과의원,정형외과,"충청북도 제천시 의림대로 222, (청전동, 두손메디칼센타)",043-652-5000,20050324,09:00~18:30,,09:00~18:30,,09:00~18:30,,09:00~18:30,,09:00~18:30,,09:00~13:00,,,
654-74-31426,논산안과의원,안과,"충청남도 논산시 해월로 163, 6층 (반월동)",041-732-7507,19981114,09:00~18:00,,09:00~18:00,,09:00~18:00,,09:00~18:00,,09:00~18:00,,09:00~13:00,,,
002-78-17267,누리정형외과의원,정형외과,"충청남도 천안시 동남구 충무로 421, 2,3층 (영성동)",041-552-7500,20070808,08:30~18:30,,08:30~18:30,,08:30~18:30,,08:30~18:30,,08:30~18:30,,08:30~13:30,,,
019-41-39187,누보소아청소년과의원,소아청소년과,"충청남도 서산시 호수공원14로 36, 2층 (예천동)",041-666-5678,20230113,08:30~18:3008:15,12:30~14:00,08:30~18:3008:15,12:30~14:00,08:30~18:3008:15,12:30~14:00,08:30~18:3008:15,12:30~14:00,08:30~18:3008:15,12:30~14:00,08:30~14:0008:15,,,
837-58-27579,눈에미소안과의원,안과,"충청북도 충주시 봉계1길 52, (칠금동)",043-854-7555,20060727,09:00~18:00,,09:00~18:00,,09:00~18:00,,09:00~18:00,,09:00~18:00,,09:00~13:00,,,
037-86-61299,뉴이진소아청소년과의원,소아청소년과,"충청남도 천안시 서북구 충무로 167, (쌍용동)",041-579-2020,20020116,08:30~18:00,12:30~14:00,08:30~18:00,12:30~14:00,08:30~18:00,12:30~14:00,08:30~18:00,12:30~14:00,08:30~18:00,12:30~14:00,08:30~18:00,12:30~14:00,,
076-44-21316,늘푸른소아청소년과의원,소아청소년과,"충청북도 청주시 서원구 1순환로1107번길 42, 202호 (분평동, 대상빌딩)",043-295-5955,20000526,08:30~18:00,,08:30~18:00,,08:30~18:00,,08:30~18:00,,08:30~18:00,,08:30~13:00,,,
279-16-83458,다나소아청소년과의원,소아청소년과,"충청남도 천안시 서북구 노태산로 62, 2층 (두정동)",041-581-7566,20000421,09:00~18:30,,09:00~18:30,,09:00~18:30,,09:00~18:30,,09:00~18:30,,09:00~13:00,,,
080-95-57674,다나안산부인과의원,산부인과,"충청남도 공주시 웅진로 190, 4층 (산성동)",041-854-7575,20071005,09:00~18:30,,09:00~18:30,,09:00~18:30,,09:00~18:30,,09:00~18:30,,09:00~13:00,,,
309-84-15154,다솜소아청소년과의원,소아청소년과,"충청북도 청주시 청원구 새터로 172, (사천동)",043-211-7089,20190115,09:00~18:00,,09:00~18:00,,09:00~12:30,,09:00~18:00,,09:00~18:00,,09:00~12:30,,,
000-17-29219,다올내과의원,내과,"충청북도 청주시 청원구 사뜸로 54, 201호 (율량동)",043-215-6655,20160726,09:00~19:00,,09:00~19:00,,09:00~13:00,,09:00~19:00,,09:00~19:00,,09:00~13:30,,,
009-41-58658,다올이비인후과의원,이비인후과,"충청남도 아산시 용화고길79번길 31, 3층 (용화동)",041-549-7500,20170308,09:00~19:00,13:00~14:00,09:00~19:00,13:00~14:00,09:00~13:00,,09:00~19:00,13:00~14:00,09:00~19:00,13:00~14:00,09:00~14:00,,,
377-39-24298,닥터연이비인후과의원,이비인후과,"충청북도 청주시 흥덕구 2순환로 1234, 3층 301호 (강서동)",043-239-2700,20180325,09:00~18:30,12:30~14:00,09:00~18:30,12:30~14:00,09:00~18:30,12:30~14:00,09:00~18:30,12:30~14:00,09:00~18:30,12:30~14:00,09:00~14:00,,,
430-38-27235,대천안과의원,안과,"충청남도 보령시 번영로 15, 1층 (대천동, 윤산부인과의원)",041-931-7005,20000506,09:00~17:00,,09:00~17:00,,09:00~17:00,,09:00~17:00,,09:00~17:00,,09:00~12:00,,,
085-08-94936,더본소아청소년과의원,소아청소년과,"충청북도 청주시 청원구 사뜸로 54, 202호 (율량동)",043-715-6100,20160311,08:30~19:00,,08:30~18:00,,08:30~13:00,,08:30~18:00,,08:30~19:00,,09:00~13:00,,,
052-27-53329,더본정형외과의원,정형외과,"충청남도 천안시 서북구 불당21로 65, 3층 306,307호 (불당동)",041-414-2165,20210329,09:00~19:00,13:00~14:00,09:00~19:00,13:00~14:00,09:00~19:00,13:00~14:00,09:00~19:00,13:00~14:00,09:00~19:00,13:00~14:00,09:00~14:00,,,
311-16-95777,더웰속편한내과의원,내과,"충청북도 청주시 상당구 2순환로2031번길 6-20, 6층 (방서동)",043-283-1282,20210604,08:30~18:00,13:00~14:00,08:30~18:00,13:00~14:00,08:30~18:00,13:00~14:00,08:30~18:00,13:00~14:00,08:30~18:00,13:00~14:00,08:30~14:00,,,
015-83-38294,더탄탄정형외과의원,정형외과,"충청북도 청주시 청원구 충청대로 168, 4층 (주성동, 골든타임타워)",043-213-8818,20140521,09:00~18:00,,09:00~18:00,,09:00~18:00,,09:00~18:00,,09:00~18:00,,09:00~13:00,,,
046-81-36188,도내과의원,내과,"충청북도 청주시 상당구 상당로 37, 2층 (남문로1가 1-6)",043-253-9111,19920316,08:30~18:00,,08:30~18:00,,08:30~18:00,,08:30~18:00,,08:30~18:00,,08:30~14:00,,,
036-58-45585,도담소아청소년과의원,소아청소년과,"충청북도 청주시 흥덕구 서현로 60, 310,311호 (가경동)",043-232-8089,20220812,09:00~18:30,13:00~14:00,09:00~18:30,13:00~14:00,09:00~14:00,,09:00~18:30,13:00~14:00,09:00~18:30,13:00~14:00,09:00~13:00,,,
481-72-18965,동남이비인후과의원,이비인후과,"충청북도 청주시 상당구 중고개로 129, 3층 5,6호 (용암동)",043-291-5575,20210818,09:00~18:00,,09:00~18:00,,09:00~18:00,,09:00~18:00,,09:00~18:00,,09:00~13:00,,,
540-48-76951,두리이비인후과의원,이비인후과,"충청남도 아산시 시장길 32, 3층 (온천동)",041-544-6400,20040419,09:00~19:00,,09:00~19:00,,14:00~19:00,,09:00~19:00,,09:00~19:00,,09:00~13:00,,,
406-51-85911,두정바른정형외과의원,정형외과,"충청남도 천안시 서북구 봉정로 356, 4층 401~405호 (두정동)",041-417-7551,20230927,,,,,,,,,,,,,,
030-64-56961,드림소아청소년과의원,소아청소년과,"충청북도 청주시 상당구 중고개로 115, 3층 304,305호 (용암동)",043-237-9949,20200609,09:00~19:30,12:30~14:00,09:00~19:30,12:30~14:00,09:00~19:30,12:30~14:00,09:00~19:30,12:30~14:00,09:00~19:30,12:30~14:00,09:00~13:30,,,
096-16-93624,드림신경외과의원,신경외과,"충청북도 청주시 상당구 수영로 277, (금천동)",043-221-7555,20111006,09:00~19:00,13:00~14:00,09:00~19:00,13:00~14:00,09:00~19:00,13:00~14:00,09:00~19:00,13:00~14:00,09:00~19:00,13:00~14:00,09:00~13:00,,,
417-99-59672,드림아이소아청소년과의원,소아청소년과,"충청남도 천안시 동남구 서부대로 229, (신방동, 자성빌딩)",041-567-4575,20031215,,,,,,,,,,,,,,
239-61-66332,드림이비인후과의원,이비인후과,"충청북도 청주시 청원구 주성로 269, 미래빌딩 3층 301호 (주성동)",043-214-3993,20140515,09:00~19:00,13:00~14:00,09:00~19:00,13:00~14:00,09:00~13:00,,09:00~19:00,13:00~14:00,09:00~19:00,13:00~14:00,09:00~15:00,,,
